date,oblast,alert_minutes,night_minutes,alert_count,alert_hours,night_hours,rolling_7d_alert_hours,rolling_7d_night_hours,rolling_30d_alert_hours,rolling_30d_night_hours
2022-04-21,Cherkaska oblast,123.56700000000001,0.0,3,2.059,0.0,22.909,10.915,92.816,38.662
2022-04-22,Cherkaska oblast,93.2,63.017,2,1.553,1.05,19.856,8.544,90.402,39.146
2022-04-23,Cherkaska oblast,166.28300000000002,86.116,3,2.771,1.435,18.147,8.118,90.787,39.299
2022-04-24,Cherkaska oblast,214.201,60.484,3,3.57,1.008,19.794,7.689,89.247,38.943
2022-04-25,Cherkaska oblast,154.017,15.133,3,2.567,0.252,14.61,5.02,85.765,38.496
2022-04-26,Cherkaska oblast,101.1,0.0,4,1.685,0.0,15.396,4.327,85.149,36.429
2022-04-27,Cherkaska oblast,38.133,0.0,2,0.636,0.0,14.841,3.745,85.061,36.385
2022-04-28,Cherkaska oblast,236.233,27.333,3,3.937,0.456,16.719,4.201,84.473,35.245
2022-04-29,Cherkaska oblast,54.667,54.667,1,0.911,0.911,16.077,4.062,84.125,35.907
2022-04-30,Cherkaska oblast,53.317,31.6,2,0.889,0.527,14.195,3.154,83.767,35.247
2022-05-01,Cherkaska oblast,0.0,0.0,0,0.0,0.0,10.625,2.146,81.952,34.591
2022-05-02,Cherkaska oblast,0.0,0.0,0,0.0,0.0,8.058,1.894,75.49,30.766
2022-05-03,Cherkaska oblast,304.533,86.483,5,5.076,1.441,11.449,3.335,76.849,29.292
2022-05-04,Cherkaska oblast,215.3,81.85,1,3.588,1.364,14.401,4.699,73.907,28.817
2022-05-05,Cherkaska oblast,193.71699999999998,87.017,3,3.229,1.45,13.693,5.693,75.079,29.062
2022-05-06,Cherkaska oblast,78.95,14.283,4,1.316,0.238,14.098,5.02,75.025,29.3
2022-05-07,Cherkaska oblast,140.866,22.683,3,2.348,0.378,15.557,4.871,75.124,28.372
2022-05-08,Cherkaska oblast,236.85,73.13300000000001,7,3.948,1.219,19.505,6.09,72.83,25.255
2022-05-09,Cherkaska oblast,163.567,116.15,3,2.726,1.936,22.231,8.026,73.653,26.567
2022-05-10,Cherkaska oblast,18.067,0.0,1,0.301,0.0,17.456,6.585,70.803,26.567
2022-05-11,Cherkaska oblast,0.0,0.0,0,0.0,0.0,13.868,5.221,70.127,25.891
2022-05-12,Cherkaska oblast,172.94899999999998,93.01599999999999,4,2.882,1.55,13.521,5.321,71.948,27.273
2022-05-13,Cherkaska oblast,216.116,137.167,3,3.602,2.286,15.807,7.369,74.959,29.559
2022-05-14,Cherkaska oblast,23.583,0.0,1,0.393,0.0,13.852,6.991,70.837,28.416
2022-05-15,Cherkaska oblast,213.39999999999998,126.75,3,3.557,2.112,13.461,7.884,69.788,27.107
2022-05-16,Cherkaska oblast,34.417,0.0,1,0.574,0.0,11.309,5.948,65.882,25.246
2022-05-17,Cherkaska oblast,284.883,277.216,3,4.748,4.62,15.756,10.568,68.707,28.429
2022-05-18,Cherkaska oblast,234.91600000000003,60.683,3,3.915,1.011,19.671,11.579,64.871,26.519
2022-05-19,Cherkaska oblast,0.0,0.0,0,0.0,0.0,16.789,10.029,63.972,25.826
2022-05-20,Cherkaska oblast,332.93399999999997,0.0,4,5.549,0.0,18.736,7.743,68.33,25.244
2022-05-21,Cherkaska oblast,151.667,33.25,3,2.528,0.554,20.871,8.297,68.799,25.798
2022-05-22,Cherkaska oblast,186.93300000000002,16.083,4,3.116,0.268,20.43,6.453,70.362,25.016
2022-05-23,Cherkaska oblast,311.084,146.817,4,5.185,2.447,25.041,8.9,72.776,26.028
2022-05-24,Cherkaska oblast,98.517,19.483,2,1.642,0.325,21.935,4.605,70.848,25.345
2022-05-25,Cherkaska oblast,355.883,134.583,5,5.931,2.243,23.951,5.837,74.212,27.336
2022-05-26,Cherkaska oblast,186.01600000000002,7.45,4,3.1,0.124,27.051,5.961,75.627,27.46
2022-05-27,Cherkaska oblast,165.151,51.967,6,2.753,0.866,24.255,6.827,77.744,28.326
2022-05-28,Cherkaska oblast,137.7,43.633,2,2.295,0.727,24.022,7.0,76.102,28.597
2022-05-29,Cherkaska oblast,102.3,62.55,3,1.705,1.042,22.611,7.774,76.896,28.728
2022-05-30,Cherkaska oblast,202.13299999999998,125.267,5,3.369,2.088,20.795,7.415,79.376,30.289
2022-05-31,Cherkaska oblast,66.45,17.933,2,1.108,0.299,20.261,7.389,80.484,30.588
2022-06-01,Cherkaska oblast,212.833,110.266,4,3.547,1.838,17.877,6.984,84.031,32.426
2022-06-02,Cherkaska oblast,55.0,55.0,1,0.917,0.917,15.694,7.777,79.872,31.902
2022-06-03,Cherkaska oblast,159.76600000000002,84.083,3,2.663,1.401,15.604,8.312,78.947,31.939
2022-06-04,Cherkaska oblast,162.334,96.967,3,2.706,1.616,16.015,9.201,78.424,32.105
2022-06-05,Cherkaska oblast,184.417,158.2,2,3.074,2.637,17.384,10.796,80.182,34.504
2022-06-06,Cherkaska oblast,219.016,49.833,2,3.65,0.831,17.665,9.539,81.484,34.957
2022-06-07,Cherkaska oblast,113.85,51.4,3,1.898,0.857,18.455,10.097,79.434,34.595
2022-06-08,Cherkaska oblast,112.767,13.75,2,1.879,0.229,16.787,8.488,78.587,32.888
2022-06-09,Cherkaska oblast,157.416,67.334,4,2.624,1.122,18.494,8.693,80.91,34.01
2022-06-10,Cherkaska oblast,17.483,17.483,1,0.291,0.291,16.122,7.583,81.201,34.301
2022-06-11,Cherkaska oblast,98.917,16.117,2,1.649,0.269,15.065,6.236,79.968,33.02
2022-06-12,Cherkaska oblast,39.817,39.817,3,0.664,0.664,12.655,4.263,77.03,31.398
2022-06-13,Cherkaska oblast,89.76700000000001,25.117,2,1.496,0.419,10.501,3.851,78.133,31.817
2022-06-14,Cherkaska oblast,189.517,39.317,3,3.159,0.655,11.762,3.649,77.735,30.36
2022-06-15,Cherkaska oblast,400.61699999999996,272.7,3,6.677,4.545,16.56,7.965,83.838,34.905
2022-06-16,Cherkaska oblast,120.81700000000001,74.63300000000001,4,2.014,1.244,15.95,8.087,81.104,31.529
2022-06-17,Cherkaska oblast,36.55,36.55,0,0.609,0.609,16.268,8.405,77.798,31.127
2022-06-18,Cherkaska oblast,171.401,75.567,4,2.857,1.259,17.476,9.395,80.655,32.386
2022-06-19,Cherkaska oblast,130.333,80.61599999999999,3,2.172,1.344,18.984,10.075,77.278,33.73
2022-06-20,Cherkaska oblast,51.8,0.0,2,0.863,0.0,18.351,9.656,75.613,33.176
2022-06-21,Cherkaska oblast,24.0,0.0,2,0.4,0.0,15.592,9.001,72.897,32.908
2022-06-22,Cherkaska oblast,33.517,33.517,1,0.559,0.559,9.474,5.015,68.271,31.02
2022-06-23,Cherkaska oblast,120.049,18.567,5,2.001,0.309,9.461,4.08,68.63,31.004
2022-06-24,Cherkaska oblast,185.116,81.466,2,3.085,1.358,11.937,4.829,65.784,30.119
2022-06-25,Cherkaska oblast,408.901,245.2,6,6.815,4.087,15.895,7.657,69.499,34.082
2022-06-26,Cherkaska oblast,289.466,99.584,4,4.824,1.66,18.547,7.973,71.57,34.876
2022-06-27,Cherkaska oblast,164.833,90.867,4,2.747,1.514,20.431,9.487,72.022,35.663
2022-06-28,Cherkaska oblast,164.834,0.0,3,2.747,0.0,22.778,9.487,73.064,34.621
2022-06-29,Cherkaska oblast,27.667,27.667,1,0.461,0.461,22.68,9.389,70.156,32.994
2022-06-30,Cherkaska oblast,0.0,0.0,0,0.0,0.0,20.679,9.08,69.048,32.695
2022-07-01,Cherkaska oblast,26.883,26.883,1,0.448,0.448,18.042,8.17,65.949,31.305
2022-07-02,Cherkaska oblast,0.0,0.0,0,0.0,0.0,11.227,4.083,65.032,30.388
2022-07-03,Cherkaska oblast,120.367,44.2,2,2.006,0.737,8.409,3.16,64.375,29.724
2022-07-04,Cherkaska oblast,0.0,0.0,0,0.0,0.0,5.662,1.646,61.669,28.108
2022-07-05,Cherkaska oblast,177.334,111.017,2,2.956,1.85,5.871,3.496,61.551,27.321
2022-07-06,Cherkaska oblast,65.1,65.1,1,1.085,1.085,6.495,4.12,58.986,27.575
2022-07-07,Cherkaska oblast,59.383,59.383,1,0.99,0.99,7.485,5.11,58.078,27.708
2022-07-08,Cherkaska oblast,0.0,0.0,0,0.0,0.0,7.037,4.662,56.199,27.479
2022-07-09,Cherkaska oblast,11.917,0.0,1,0.199,0.0,7.236,4.662,53.774,26.357
2022-07-10,Cherkaska oblast,0.0,0.0,0,0.0,0.0,5.23,3.925,53.483,26.066
2022-07-11,Cherkaska oblast,28.083,0.0,1,0.468,0.0,5.698,3.925,52.302,25.797
2022-07-12,Cherkaska oblast,83.283,83.283,1,1.388,1.388,4.13,3.463,53.026,26.521
2022-07-13,Cherkaska oblast,82.56700000000001,16.067,2,1.376,0.268,4.421,2.646,52.906,26.37
2022-07-14,Cherkaska oblast,221.566,67.8,3,3.693,1.13,7.124,2.786,53.44,26.845
2022-07-15,Cherkaska oblast,145.466,28.05,3,2.424,0.468,9.548,3.254,49.187,22.768
2022-07-16,Cherkaska oblast,176.85000000000002,87.417,2,2.948,1.457,12.297,4.711,50.121,22.981
2022-07-17,Cherkaska oblast,22.267,0.0,1,0.371,0.0,12.668,4.711,49.883,22.372
2022-07-18,Cherkaska oblast,86.95,56.016999999999996,3,1.449,0.934,13.649,5.645,48.475,22.047
2022-07-19,Cherkaska oblast,33.233000000000004,3.95,1,0.554,0.066,12.815,4.323,46.857,20.769
2022-07-20,Cherkaska oblast,0.0,0.0,0,0.0,0.0,11.439,4.055,45.994,20.769
2022-07-21,Cherkaska oblast,0.0,0.0,0,0.0,0.0,7.746,2.925,45.594,20.769
2022-07-22,Cherkaska oblast,0.0,0.0,0,0.0,0.0,5.322,2.457,45.035,20.21
2022-07-23,Cherkaska oblast,179.95000000000002,179.95000000000002,3,2.999,2.999,5.373,3.999,46.033,22.9
2022-07-24,Cherkaska oblast,225.733,39.2,3,3.762,0.653,8.764,4.652,46.71,22.195
2022-07-25,Cherkaska oblast,195.233,77.833,3,3.254,1.297,10.569,5.015,43.149,19.405
2022-07-26,Cherkaska oblast,98.901,85.634,4,1.648,1.427,11.663,6.376,39.973,19.172
2022-07-27,Cherkaska oblast,105.2,40.217,1,1.753,0.67,13.416,7.046,38.979,18.328
2022-07-28,Cherkaska oblast,151.0,115.717,3,2.517,1.929,15.933,8.975,38.749,20.257
2022-07-29,Cherkaska oblast,80.267,0.0,1,1.338,0.0,17.271,8.975,39.626,19.796
2022-07-30,Cherkaska oblast,67.31700000000001,40.767,2,1.122,0.679,15.394,6.655,40.748,20.475
2022-07-31,Cherkaska oblast,95.416,68.6,2,1.59,1.143,13.222,7.145,41.89,21.17
2022-08-01,Cherkaska oblast,46.05,46.05,2,0.768,0.768,10.736,6.616,42.658,21.938
2022-08-02,Cherkaska oblast,89.267,0.0,1,1.488,0.0,10.576,5.189,42.14,21.201
2022-08-03,Cherkaska oblast,81.38300000000001,81.38300000000001,3,1.356,1.356,10.179,5.875,43.496,22.557
2022-08-04,Cherkaska oblast,0.0,0.0,0,0.0,0.0,7.662,3.946,40.54,20.707
2022-08-05,Cherkaska oblast,54.234,26.667,2,0.904,0.444,7.228,4.39,40.359,20.066
2022-08-06,Cherkaska oblast,0.0,0.0,0,0.0,0.0,6.106,3.711,39.369,19.076
2022-08-07,Cherkaska oblast,117.5,21.333,2,1.958,0.356,6.474,2.924,41.327,19.432
2022-08-08,Cherkaska oblast,259.366,36.683,8,4.323,0.611,10.029,2.767,45.451,20.043
2022-08-09,Cherkaska oblast,0.0,0.0,0,0.0,0.0,8.541,2.767,45.451,20.043
2022-08-10,Cherkaska oblast,0.0,0.0,0,0.0,0.0,7.185,1.411,44.983,20.043
2022-08-11,Cherkaska oblast,122.30000000000001,0.0,3,2.038,0.0,9.223,1.411,45.633,18.655
2022-08-12,Cherkaska oblast,36.583999999999996,28.616999999999997,3,0.61,0.477,8.929,1.444,44.867,18.864
2022-08-13,Cherkaska oblast,67.333,33.0,3,1.122,0.55,10.051,1.994,42.296,18.284
2022-08-14,Cherkaska oblast,0.0,0.0,0,0.0,0.0,8.093,1.638,39.872,17.816
2022-08-15,Cherkaska oblast,53.533,53.533,1,0.892,0.892,4.662,1.919,37.816,17.251
2022-08-16,Cherkaska oblast,57.634,29.267,1,0.961,0.488,5.623,2.407,38.406,17.739
2022-08-17,Cherkaska oblast,79.234,61.867,2,1.321,1.031,6.944,3.438,38.278,17.836
2022-08-18,Cherkaska oblast,65.634,50.834,4,1.094,0.847,6.0,4.285,38.818,18.617
2022-08-19,Cherkaska oblast,11.983,11.983,0,0.2,0.2,5.59,4.008,39.018,18.817
2022-08-20,Cherkaska oblast,183.46699999999998,28.433,4,3.058,0.474,7.526,3.932,42.076,19.291
2022-08-21,Cherkaska oblast,125.11699999999999,125.11699999999999,2,2.085,2.085,9.611,6.017,44.161,21.376
2022-08-22,Cherkaska oblast,38.217,0.0,2,0.637,0.0,9.356,5.125,41.799,18.377
2022-08-23,Cherkaska oblast,46.017,0.0,2,0.767,0.0,9.162,4.637,38.804,17.724
2022-08-24,Cherkaska oblast,518.15,84.85,10,8.636,1.414,16.477,5.02,44.186,17.841
2022-08-25,Cherkaska oblast,0.0,0.0,0,0.0,0.0,15.383,4.173,42.538,16.414
2022-08-26,Cherkaska oblast,27.25,27.25,1,0.454,0.454,15.637,4.427,41.239,16.198
2022-08-27,Cherkaska oblast,0.0,0.0,0,0.0,0.0,12.579,3.953,38.722,14.269
2022-08-28,Cherkaska oblast,29.95,0.0,1,0.499,0.0,10.993,1.868,37.883,14.269
2022-08-29,Cherkaska oblast,214.734,98.751,6,3.579,1.646,13.935,3.514,40.34,15.236
2022-08-30,Cherkaska oblast,88.667,59.367000000000004,2,1.478,0.989,14.646,4.503,40.228,15.082
2022-08-31,Cherkaska oblast,105.201,26.717,3,1.753,0.445,7.763,3.534,41.213,14.759
2022-09-01,Cherkaska oblast,63.867000000000004,63.867000000000004,2,1.064,1.064,8.827,4.598,40.789,15.823
2022-09-02,Cherkaska oblast,73.967,10.883,3,1.233,0.181,9.606,4.325,40.666,14.648
2022-09-03,Cherkaska oblast,5.6,5.6,0,0.093,0.093,9.699,4.418,40.759,14.741
2022-09-04,Cherkaska oblast,70.68299999999999,58.9,2,1.178,0.982,10.378,5.4,41.033,15.279
2022-09-05,Cherkaska oblast,10.9,10.9,1,0.182,0.182,6.981,3.936,41.215,15.461
2022-09-06,Cherkaska oblast,60.85,0.0,1,1.014,0.0,6.517,2.947,40.271,15.105
2022-09-07,Cherkaska oblast,70.767,22.15,3,1.179,0.369,5.943,2.871,37.127,14.863
2022-09-08,Cherkaska oblast,26.95,26.95,1,0.449,0.449,5.328,2.256,37.576,15.312
2022-09-09,Cherkaska oblast,44.016999999999996,27.0,2,0.734,0.45,4.829,2.525,38.31,15.762
2022-09-10,Cherkaska oblast,0.0,0.0,0,0.0,0.0,4.736,2.432,36.272,15.762
2022-09-11,Cherkaska oblast,233.35000000000002,62.617000000000004,4,3.889,1.044,7.447,2.494,39.551,16.329
2022-09-12,Cherkaska oblast,36.1,36.1,1,0.602,0.602,7.867,2.914,39.031,16.381
2022-09-13,Cherkaska oblast,87.033,72.5,2,1.451,1.208,8.304,4.122,40.482,17.589
2022-09-14,Cherkaska oblast,109.86699999999999,36.0,3,1.831,0.6,8.956,4.353,41.421,17.297
2022-09-15,Cherkaska oblast,99.39999999999999,0.0,3,1.657,0.0,10.164,3.904,42.117,16.809
2022-09-16,Cherkaska oblast,98.999,25.35,4,1.65,0.423,11.08,3.877,42.446,16.201
2022-09-17,Cherkaska oblast,82.4,0.0,1,1.373,0.0,12.453,3.877,42.725,15.354
2022-09-18,Cherkaska oblast,32.183,0.0,1,0.536,0.0,9.1,2.833,43.061,15.154
2022-09-19,Cherkaska oblast,0.0,0.0,0,0.0,0.0,8.498,2.231,40.003,14.68
2022-09-20,Cherkaska oblast,47.134,14.517,2,0.786,0.242,7.833,1.265,38.704,12.837
2022-09-21,Cherkaska oblast,53.55,0.0,1,0.892,0.0,6.894,0.665,38.959,12.837
2022-09-22,Cherkaska oblast,112.483,0.0,5,1.875,0.0,7.112,0.665,40.067,12.837
2022-09-23,Cherkaska oblast,79.1,0.0,2,1.318,0.0,6.78,0.242,32.749,11.423
2022-09-24,Cherkaska oblast,119.43299999999999,88.383,3,1.991,1.473,7.398,1.715,34.74,12.896
2022-09-25,Cherkaska oblast,66.01599999999999,27.833,2,1.1,0.464,7.962,2.179,35.386,12.906
2022-09-26,Cherkaska oblast,55.684,0.0,2,0.928,0.0,8.89,2.179,36.314,12.906
2022-09-27,Cherkaska oblast,59.566,0.0,2,0.993,0.0,9.097,1.937,36.808,12.906
2022-09-28,Cherkaska oblast,42.3,0.0,2,0.705,0.0,8.91,1.937,33.934,11.26
2022-09-29,Cherkaska oblast,167.133,137.133,4,2.786,2.286,9.821,4.223,35.242,12.557
2022-09-30,Cherkaska oblast,61.733000000000004,0.0,3,1.029,0.0,9.532,4.223,34.518,12.112
2022-10-01,Cherkaska oblast,121.067,31.25,2,2.018,0.521,9.559,3.271,35.472,11.569
2022-10-02,Cherkaska oblast,56.566,37.333,2,0.943,0.622,9.402,3.429,35.182,12.01
2022-10-03,Cherkaska oblast,80.917,24.967,2,1.349,0.416,9.823,3.845,36.438,12.333
2022-10-04,Cherkaska oblast,103.94999999999999,0.0,2,1.732,0.0,10.562,3.845,36.992,11.351
2022-10-05,Cherkaska oblast,314.767,228.1,2,5.246,3.802,15.103,7.647,42.056,14.971
2022-10-06,Cherkaska oblast,372.43399999999997,232.117,5,6.207,3.869,18.524,9.23,47.249,18.84
2022-10-07,Cherkaska oblast,0.0,0.0,0,0.0,0.0,17.495,9.23,46.07,18.471
2022-10-08,Cherkaska oblast,36.483,36.483,1,0.608,0.608,16.085,9.317,46.229,18.63
2022-10-09,Cherkaska oblast,122.71699999999998,21.383,2,2.045,0.356,17.187,9.051,47.54,18.536
2022-10-10,Cherkaska oblast,413.017,36.5,3,6.884,0.608,22.722,9.243,54.424,19.144
2022-10-11,Cherkaska oblast,332.733,0.0,1,5.546,0.0,26.536,9.243,56.081,18.1
2022-10-12,Cherkaska oblast,354.183,153.2,5,5.903,2.553,27.193,7.994,61.382,20.051
2022-10-13,Cherkaska oblast,232.51700000000002,150.717,3,3.875,2.512,24.861,6.637,63.806,21.355
2022-10-14,Cherkaska oblast,35.35,0.0,1,0.589,0.0,25.45,6.637,62.564,20.755
2022-10-15,Cherkaska oblast,86.483,0.0,2,1.441,0.0,26.283,6.029,62.348,20.755
2022-10-16,Cherkaska oblast,127.333,55.05,4,2.122,0.918,26.36,6.591,62.82,21.25
2022-10-17,Cherkaska oblast,637.667,204.81599999999997,5,10.628,3.414,30.104,9.397,72.075,24.664
2022-10-18,Cherkaska oblast,238.934,55.384,2,3.982,0.923,28.54,10.32,75.521,25.587
2022-10-19,Cherkaska oblast,241.25,25.217,2,4.021,0.42,26.658,8.187,79.542,26.007
2022-10-20,Cherkaska oblast,149.03300000000002,45.283,4,2.484,0.755,25.267,6.43,81.24,26.52
2022-10-21,Cherkaska oblast,98.717,0.0,2,1.645,0.0,26.323,6.43,81.993,26.52
2022-10-22,Cherkaska oblast,483.016,198.55,3,8.05,3.309,32.932,9.739,88.168,29.829
2022-10-23,Cherkaska oblast,22.933999999999997,22.933999999999997,2,0.382,0.382,31.192,9.203,87.232,30.211
2022-10-24,Cherkaska oblast,151.483,67.083,2,2.525,1.118,23.089,6.907,87.766,29.856
2022-10-25,Cherkaska oblast,67.35,0.0,1,1.122,0.0,20.229,5.984,87.788,29.392
2022-10-26,Cherkaska oblast,376.116,120.0,5,6.269,2.0,22.477,7.564,93.129,31.392
2022-10-27,Cherkaska oblast,283.38300000000004,158.633,3,4.723,2.644,24.716,9.453,96.859,34.036
2022-10-28,Cherkaska oblast,41.132999999999996,20.0,2,0.686,0.333,23.757,9.786,96.84,34.369
2022-10-29,Cherkaska oblast,115.466,31.833,2,1.924,0.531,17.631,7.008,95.978,32.614
2022-10-30,Cherkaska oblast,0.0,0.0,0,0.0,0.0,17.249,6.626,94.949,32.614
2022-10-31,Cherkaska oblast,204.917,23.117,2,3.415,0.385,18.139,5.893,96.346,32.478
2022-11-01,Cherkaska oblast,113.65,25.65,2,1.894,0.428,18.911,6.321,97.297,32.284
2022-11-02,Cherkaska oblast,271.86699999999996,235.89999999999998,4,4.531,3.932,17.173,8.253,100.479,35.8
2022-11-03,Cherkaska oblast,43.883,0.0,1,0.731,0.0,13.181,5.609,99.478,35.8
2022-11-04,Cherkaska oblast,261.867,197.717,2,4.364,3.295,16.859,8.571,98.596,35.293
2022-11-05,Cherkaska oblast,138.15,51.733,2,2.302,0.862,17.237,8.902,94.691,32.286
2022-11-06,Cherkaska oblast,26.15,26.15,1,0.436,0.436,17.673,9.338,95.127,32.722
2022-11-07,Cherkaska oblast,107.98400000000001,66.601,4,1.8,1.11,16.058,10.063,96.319,33.224
2022-11-08,Cherkaska oblast,105.71600000000001,34.916,2,1.762,0.582,15.926,10.217,96.036,33.45
2022-11-09,Cherkaska oblast,133.183,0.0,3,2.22,0.0,13.615,6.285,91.372,32.842
2022-11-10,Cherkaska oblast,68.19999999999999,37.367,2,1.137,0.623,14.021,6.908,86.963,33.465
2022-11-11,Cherkaska oblast,268.433,197.983,2,4.474,3.3,14.131,6.913,85.534,34.212
2022-11-12,Cherkaska oblast,118.1,27.55,2,1.968,0.459,13.797,6.51,83.627,32.159
2022-11-13,Cherkaska oblast,182.317,0.0,2,3.039,0.0,16.4,6.074,86.077,32.159
2022-11-14,Cherkaska oblast,28.783,28.783,1,0.48,0.48,15.08,5.444,85.116,32.639
2022-11-15,Cherkaska oblast,293.366,54.333,2,4.889,0.906,18.207,5.768,87.883,32.627
2022-11-16,Cherkaska oblast,57.4,26.883,1,0.957,0.448,16.944,6.216,78.212,29.661
